Symbol,Data,Value
CONSM,2020-01-28,97.313334
CONSM,2020-01-29,97.42332966666667
CONSM,2020-01-30,98.06333433333334
CONSM,2020-01-31,96.96333299999999
CONSM,2020-02-03,97.55999766666666
CONSM,2020-02-04,98.27333566666668
CONSM,2020-02-05,99.43000266666667
CONSM,2020-02-06,99.28666700000001
CONSM,2020-02-07,99.08666466666666
CONSM,2020-02-10,99.173335
CONSM,2020-02-11,99.35666900000001
CONSM,2020-02-12,99.056666
CONSM,2020-02-13,98.85333233333334
CONSM,2020-02-14,99.04000333333333
CONSM,2020-02-18,98.24666833333333
CONSM,2020-02-19,98.15666700000001
CONSM,2020-02-20,97.84333299999999
CONSM,2020-02-21,98.59333299999999
CONSM,2020-02-24,96.18333433333332
CONSM,2020-02-25,95.25
CONSM,2020-02-26,95.21999633333333
CONSM,2020-02-27,91.82999666666666
CONSM,2020-02-28,88.836665
CONSM,2020-03-02,92.53333533333334
CONSM,2020-03-03,90.38999933333334
CONSM,2020-03-04,95.28999833333334
CONSM,2020-03-05,93.37000033333334
CONSM,2020-03-06,93.09666466666665
CONSM,2020-03-09,88.86666866666667
CONSM,2020-03-10,91.926666
CONSM,2020-03-11,87.18333433333333
CONSM,2020-03-12,80.25
CONSM,2020-03-13,87.24666333333334
CONSM,2020-03-16,80.073331
CONSM,2020-03-17,88.10333233333334
CONSM,2020-03-18,85.293335
CONSM,2020-03-19,81.46333299999999
CONSM,2020-03-20,74.60666633333334
CONSM,2020-03-23,72.10666633333334
CONSM,2020-03-24,77.673332
CONSM,2020-03-25,77.30000066666666
CONSM,2020-03-26,82.27666733333332
CONSM,2020-03-27,81.20666766666666
CONSM,2020-03-30,86.16333266666668
CONSM,2020-03-31,83.74333433333334
CONSM,2020-04-01,82.31000033333333
CONSM,2020-04-02,85.66999833333334
CONSM,2020-04-03,86.25333133333334
CONSM,2020-04-06,90.30666633333333
CONSM,2020-04-07,89.31999733333333
CONSM,2020-04-08,91.95666533333333
CONSM,2020-04-09,91.62000033333334
